f1,precision,recall,accuracy,auc,experiment,classifier,fold,tn,fp,fn,tp
0.8231368186874305,0.7341269841269841,0.9367088607594937,0.9599395313681028,0.9814004802618064,B1_tiktok_behavioral_cv,NB,0,,,,
0.8935128518971848,0.8649289099526066,0.9240506329113924,0.9780801209372638,0.9842721341899655,B1_tiktok_behavioral_cv,RF,0,,,,
0.8519417475728155,0.8181818181818182,0.8886075949367088,0.9692617787855883,0.9842523003690508,B1_tiktok_behavioral_cv,SVM,0,,,,
0.8395061728395061,0.8192771084337349,0.8607594936708861,0.9672461577223482,0.9210079122778435,B1_tiktok_behavioral_cv,DT,0,,,,
0.8692579505300353,0.8127753303964758,0.9341772151898734,0.9720332577475435,0.984553349436507,B1_tiktok_behavioral_cv,DNN,0,,,,
0.8172531214528944,0.7407407407407407,0.9113924050632911,0.9594356261022927,0.9740495703852718,B1_tiktok_behavioral_cv,NB,1,,,,
0.8936170212765957,0.8836633663366337,0.9037974683544304,0.9785840262030738,0.986391873800231,B1_tiktok_behavioral_cv,RF,1,,,,
0.8426270136307311,0.8252427184466019,0.8607594936708861,0.9680020156210632,0.981697279224781,B1_tiktok_behavioral_cv,SVM,1,,,,
0.8301404853128991,0.8376288659793815,0.8227848101265823,0.9664902998236331,0.9124765358815071,B1_tiktok_behavioral_cv,DT,1,,,,
0.8613496932515338,0.8357142857142857,0.8886075949367088,0.9715293524817334,0.9866606929087007,B1_tiktok_behavioral_cv,DNN,1,,,,
0.8139797068771139,0.7322515212981744,0.916243654822335,0.9584173387096774,0.9723375819156402,B1_tiktok_behavioral_cv,NB,2,,,,
0.8897338403041825,0.8886075949367088,0.8908629441624365,0.9780745967741935,0.9842599115438916,B1_tiktok_behavioral_cv,RF,2,,,,
0.8610421836228288,0.8422330097087378,0.8807106598984772,0.9717741935483871,0.9837482494837221,B1_tiktok_behavioral_cv,SVM,2,,,,
0.8578745198463509,0.8656330749354005,0.850253807106599,0.9720262096774194,0.9239651004576198,B1_tiktok_behavioral_cv,DT,2,,,,
0.8721804511278195,0.8613861386138614,0.883248730964467,0.9742943548387096,0.9865433943398316,B1_tiktok_behavioral_cv,DNN,2,,,,
0.8404840484048405,0.7417475728155339,0.9695431472081218,0.9634576612903226,0.9840600047153866,B1_tiktok_behavioral_cv,NB,3,,,,
0.9011264080100125,0.8888888888888888,0.9137055837563451,0.9800907258064516,0.9914750212334429,B1_tiktok_behavioral_cv,RF,3,,,,
0.8688327316486161,0.8260869565217391,0.916243654822335,0.9725302419354839,0.9850158647195341,B1_tiktok_behavioral_cv,SVM,3,,,,
0.8375634517766497,0.8375634517766497,0.8375634517766497,0.967741935483871,0.9159269285505299,B1_tiktok_behavioral_cv,DT,3,,,,
0.882494004796163,0.8363636363636363,0.934010152284264,0.9753024193548387,0.9901637318592542,B1_tiktok_behavioral_cv,DNN,3,,,,
0.8160535117056856,0.7276341948310139,0.9289340101522843,0.9584173387096774,0.977537644976835,B1_tiktok_behavioral_cv,NB,4,,,,
0.8975,0.8842364532019704,0.9111675126903553,0.9793346774193549,0.9889813344544213,B1_tiktok_behavioral_cv,RF,4,,,,
0.849009900990099,0.8285024154589372,0.8705583756345178,0.9692540322580645,0.9856486071145527,B1_tiktok_behavioral_cv,SVM,4,,,,
0.8439897698209718,0.8505154639175257,0.8375634517766497,0.9692540322580645,0.9144210584622727,B1_tiktok_behavioral_cv,DT,4,,,,
0.8717948717948718,0.84,0.9060913705583756,0.9735383064516129,0.9891347265501834,B1_tiktok_behavioral_cv,DNN,4,,,,
0.5532759761747187,0.6841243862520459,0.46444444444444444,0.8299319727891157,0.7385005973715651,B1b_tiktok_full_cv,NB,0,,,,
0.6004029550033579,0.7589134125636672,0.49666666666666665,0.8500881834215167,0.7987429854096519,B1b_tiktok_full_cv,RF,0,,,,
0.5383435582822086,0.8688118811881188,0.39,0.8483245149911817,0.7469847217696679,B1b_tiktok_full_cv,SVM,0,,,,
0.532556908417152,0.5085945399393327,0.5588888888888889,0.7775258251448728,0.7025962130263206,B1b_tiktok_full_cv,DT,0,,,,
0.5697503671071953,0.8398268398268398,0.4311111111111111,0.8523557571176619,0.7804567177147822,B1b_tiktok_full_cv,DNN,0,,,,
0.5603735823882589,0.7011686143572621,0.4666666666666667,0.8339632149155959,0.7387049708555085,B1b_tiktok_full_cv,NB,1,,,,
0.621676891615542,0.8042328042328042,0.5066666666666667,0.8601662887377173,0.8082111436950147,B1b_tiktok_full_cv,RF,1,,,,
0.5772418990203466,0.8969555035128806,0.4255555555555556,0.8586545729402872,0.7633255494008182,B1b_tiktok_full_cv,SVM,1,,,,
0.5413450937155457,0.537199124726477,0.5455555555555556,0.7903754094230284,0.7107173889431954,B1b_tiktok_full_cv,DT,1,,,,
0.5856929955290611,0.8891402714932126,0.43666666666666665,0.8599143361048123,0.7961770030049601,B1b_tiktok_full_cv,DNN,1,,,,
0.5736636245110821,0.694006309148265,0.4888888888888889,0.8351814516129032,0.7412806026365348,B1b_tiktok_full_cv,NB,2,,,,
0.6204081632653061,0.8,0.5066666666666667,0.859375,0.8071918006663767,B1b_tiktok_full_cv,RF,2,,,,
0.5582450832072617,0.8744075829383886,0.41,0.8528225806451613,0.7591134289439374,B1b_tiktok_full_cv,SVM,2,,,,
0.5367965367965368,0.5232067510548524,0.5511111111111111,0.7842741935483871,0.7061286759379981,B1b_tiktok_full_cv,DT,2,,,,
0.5903083700440529,0.8701298701298701,0.44666666666666666,0.859375,0.7928378965667102,B1b_tiktok_full_cv,DNN,2,,,,
0.5742315238718116,0.6968253968253968,0.4883203559510567,0.8359375,0.7302221323355917,B1b_tiktok_full_cv,NB,3,,,,
0.6170648464163823,0.7985865724381626,0.5027808676307007,0.8586189516129032,0.7993723158601698,B1b_tiktok_full_cv,RF,3,,,,
0.5854025583145221,0.9046511627906977,0.43270300333704115,0.8611391129032258,0.744578984433303,B1b_tiktok_full_cv,SVM,3,,,,
0.5284244721169464,0.5147679324894515,0.542825361512792,0.7804939516129032,0.7018636253090307,B1b_tiktok_full_cv,DT,3,,,,
0.6045487894350697,0.8879310344827587,0.4582869855394883,0.8641633064516129,0.7873392868728186,B1b_tiktok_full_cv,DNN,3,,,,
0.5855915399867813,0.7214983713355049,0.492769744160178,0.8419858870967742,0.7457893731531107,B1b_tiktok_full_cv,NB,4,,,,
0.6309444072337576,0.7929292929292929,0.5239154616240267,0.8611391129032258,0.8061569442315075,B1b_tiktok_full_cv,RF,4,,,,
0.5801063022019742,0.9138755980861244,0.42491657397107896,0.8606350806451613,0.7656410892084939,B1b_tiktok_full_cv,SVM,4,,,,
0.5310307609282245,0.5157232704402516,0.5472747497219133,0.7809979838709677,0.7045895823569942,B1b_tiktok_full_cv,DT,4,,,,
0.6070381231671554,0.8903225806451613,0.46051167964404893,0.8649193548387096,0.8019291918068336,B1b_tiktok_full_cv,DNN,4,,,,
0.6097087378640776,0.4414245548266167,0.9853556485355649,0.4478021978021978,0.5272068744633585,B2_pantip_sockpuppet_cv,NB,0,,,,
0.5005512679162073,0.5291375291375291,0.47489539748953974,0.5851648351648352,0.6089211971706212,B2_pantip_sockpuppet_cv,RF,0,,,,
0.16179001721170397,0.4563106796116505,0.09832635983263599,0.5540293040293041,0.538549602714895,B2_pantip_sockpuppet_cv,SVM,0,,,,
0.46041666666666664,0.45850622406639,0.46234309623430964,0.5256410256410257,0.5183565480490099,B2_pantip_sockpuppet_cv,DT,0,,,,
0.22690437601296595,0.5035971223021583,0.14644351464435146,0.5631868131868132,0.56981110217655,B2_pantip_sockpuppet_cv,DNN,0,,,,
0.5702005730659025,0.4335511982570806,0.8326359832635983,0.45054945054945056,0.5249955705777329,B2_pantip_sockpuppet_cv,NB,1,,,,
0.4672036823935558,0.5191815856777494,0.4246861924686193,0.576007326007326,0.5851420140923773,B2_pantip_sockpuppet_cv,RF,1,,,,
0.17667844522968199,0.5681818181818182,0.10460251046025104,0.5732600732600732,0.5331286713096097,B2_pantip_sockpuppet_cv,SVM,1,,,,
0.4678111587982833,0.4801762114537445,0.4560669456066946,0.5457875457875457,0.537098115110463,B2_pantip_sockpuppet_cv,DT,1,,,,
0.266025641025641,0.5684931506849316,0.17364016736401675,0.5805860805860806,0.5579811374756382,B2_pantip_sockpuppet_cv,DNN,1,,,,
0.6058252427184466,0.4386129334582943,0.9790794979079498,0.44179651695692024,0.5217361627772052,B2_pantip_sockpuppet_cv,NB,2,,,,
0.4899328859060403,0.5264423076923077,0.4581589958158996,0.5820348304307974,0.5882756455322954,B2_pantip_sockpuppet_cv,RF,2,,,,
0.2071307300509338,0.5495495495495496,0.12761506276150628,0.5719523373052245,0.5512193956602757,B2_pantip_sockpuppet_cv,SVM,2,,,,
0.4968421052631579,0.5,0.49372384937238495,0.5618698441796517,0.5546441466960623,B2_pantip_sockpuppet_cv,DT,2,,,,
0.3072378138847858,0.5226130653266332,0.2175732217573222,0.5701191567369386,0.5553011118922645,B2_pantip_sockpuppet_cv,DNN,2,,,,
0.6066104990278678,0.4394366197183099,0.9790794979079498,0.44362969752520626,0.5360272887984874,B2_pantip_sockpuppet_cv,NB,3,,,,
0.5347826086956522,0.5565610859728507,0.5146443514644351,0.6076993583868011,0.6402168497068399,B2_pantip_sockpuppet_cv,RF,3,,,,
0.17594254937163376,0.620253164556962,0.10251046025104603,0.5792850595783685,0.5974833966977687,B2_pantip_sockpuppet_cv,SVM,3,,,,
0.5010183299389002,0.4880952380952381,0.5146443514644351,0.5508707607699358,0.547535271352222,B2_pantip_sockpuppet_cv,DT,3,,,,
0.31309904153354634,0.6621621621621622,0.20502092050209206,0.6058661778185152,0.6087524828165207,B2_pantip_sockpuppet_cv,DNN,3,,,,
0.6121134020618557,0.44227188081936686,0.9937238493723849,0.44821264894592117,0.5387763042038947,B2_pantip_sockpuppet_cv,NB,4,,,,
0.4861751152073733,0.541025641025641,0.44142259414225943,0.5912007332722273,0.607967537387292,B2_pantip_sockpuppet_cv,RF,4,,,,
0.14963503649635038,0.5857142857142857,0.08577405857740586,0.5728689275893676,0.5934409277372412,B2_pantip_sockpuppet_cv,SVM,4,,,,
0.48541666666666666,0.483402489626556,0.4874476987447699,0.5472043996333639,0.5416515934392214,B2_pantip_sockpuppet_cv,DT,4,,,,
0.31347962382445144,0.625,0.20920502092050208,0.5985334555453712,0.6020411993966158,B2_pantip_sockpuppet_cv,DNN,4,,,,
0.0,0.0,0.0,0.56166391790361,0.5076593457414807,B3_zero_shot_behavioral,NB,-1,3065.0,2.0,2390.0,0.0
0.0,0.0,0.0,0.56166391790361,0.5139338592903537,B3_zero_shot_behavioral,RF,-1,3065.0,2.0,2390.0,0.0
0.0,0.0,0.0,0.5618471687740517,0.4925667075481608,B3_zero_shot_behavioral,SVM,-1,3066.0,1.0,2390.0,0.0
0.0,0.0,0.0,0.5605644126809602,0.4986957939354418,B3_zero_shot_behavioral,DT,-1,3059.0,8.0,2390.0,0.0
0.0,0.0,0.0,0.56166391790361,0.4888851903035825,B3_zero_shot_behavioral,DNN,-1,3065.0,2.0,2390.0,0.0
0.04758064516129032,0.6555555555555556,0.024686192468619247,0.5671614440168591,0.5108192487718498,B4_zero_shot_full,NB,-1,3036.0,31.0,2331.0,59.0
0.0274858528698464,0.40476190476190477,0.014225941422594143,0.5590984057174272,0.5083349135690636,B4_zero_shot_full,RF,-1,3017.0,50.0,2356.0,34.0
0.276657060518732,0.4444444444444444,0.200836820083682,0.5400403151914972,0.5129681192557294,B4_zero_shot_full,SVM,-1,2467.0,600.0,1910.0,480.0
0.37526959022286127,0.4391475042063937,0.32761506276150626,0.5222649807586586,0.500014460862222,B4_zero_shot_full,DT,-1,2067.0,1000.0,1607.0,783.0
0.008302200083022002,0.5263157894736842,0.0041841004184100415,0.562213670514935,0.5215550065278515,B4_zero_shot_full,DNN,-1,3058.0,9.0,2380.0,10.0
